X,Y,OBJECTID,TYPE_BANK,STANDPLAATS,WIJK
187160.4529,440327.618299998,1208,Picknickbank,Trottoir,De Laar
191868.238499999,441681.489300001,1209,Picknickbank,Trottoir,Malburgen-Oost (Noord)
191845.787700001,441967.022100002,1210,Bank,Park,Malburgen-Oost (Noord)
191759.8781,441577.815200001,1211,Bank,Bushalte,Malburgen-Oost (Noord)
192397.5493,441604.5911,1212,Bank,Park,Malburgen-Oost (Noord)
192399.376400001,441608.052999999,1213,Bank,Park,Malburgen-Oost (Noord)
191327.552299999,441400.0403,1214,Bank,Park,Malburgen-Oost (Zuid)
191135.396200001,441506.199099999,1215,Bank,Park,Malburgen-Oost (Zuid)
191007.0812,441596.134300001,1216,Bank,Park,Malburgen-Oost (Zuid)
187338.046599999,440863.653700002,1217,Bank,Bushalte,Elderveld
186248.8367,441022.972899999,1218,Bank,Park,Schuytgraaf
186235.472899999,440761.075399999,1219,Bank,Park,Schuytgraaf
186142.704100002,440760.000799999,1220,Bank,Speeltuin,Schuytgraaf
186103.877,440754.816799998,1221,Bank,Trottoir,Schuytgraaf
186074.805199999,440759.120499998,1222,Bank,Speeltuin,Schuytgraaf
185840.730900001,440380.6043,1223,Bank,Speeltuin,Schuytgraaf
193292.4932,444678.517200001,1224,Bank,Trottoir,Velperweg e.o.
192992.7348,443084.975299999,1225,Bank,Bushalte,Arnhemse Broek
193472.453200001,444781.334800001,1226,Bank,Park,Velperweg e.o.
193380.485599998,444737.3006,1227,Bank,Park,Velperweg e.o.
193325.286400001,444750.294500001,1228,Bank,Park,Velperweg e.o.
193390.659299999,444793.5647,1229,Bank,Park,Velperweg e.o.
193391.489100002,444796.9593,1230,Bank,Park,Velperweg e.o.
193394.365200002,444800.129999999,1231,Bank,Park,Velperweg e.o.
193397.724100001,444805.235399999,1232,Bank,Park,Velperweg e.o.
193400.9113,444803.0264,1233,Bank,Park,Velperweg e.o.
193399.100900002,444799.3301,1234,Bank,Park,Velperweg e.o.
193372.8902,444883.652899999,1235,Bank,Park,Velperweg e.o.
193414.422499999,444907.342799999,1236,Bank,Park,Velperweg e.o.
193442.1358,444872.166900001,1237,Bank,Park,Velperweg e.o.
193442.201699998,444876.704399999,1238,Bank,Park,Velperweg e.o.
193504.218899999,444917.667300001,1239,Bank,Park,Velperweg e.o.
193499.372099999,444922.062899999,1240,Bank,Park,Velperweg e.o.
193506.717,444850.9507,1241,Bank,Park,Velperweg e.o.
193088.975299999,444945.733800001,1242,Bank,Park,Velperweg e.o.
193061.660300002,444968.091800001,1243,Bank,Park,Velperweg e.o.
193023.960999999,444987.468199998,1244,Bank,Park,Velperweg e.o.
193010.871599998,445042.897999998,1245,Bank,Park,Velperweg e.o.
193002.6723,445080.3972,1246,Bank,Park,Velperweg e.o.
192977.6675,445078.373399999,1247,Bank,Park,Velperweg e.o.
192919.893399999,445195.6998,1248,Bank,Park,Velperweg e.o.
192910.450599998,445175.9637,1249,Bank,Park,Velperweg e.o.
192875.718600001,445192.644000001,1250,Bank,Park,Velperweg e.o.
192868.3572,445209.7599,1251,Bank,Park,Velperweg e.o.
192877.763799999,445214.330600001,1252,Bank,Park,Velperweg e.o.
192776.388,445270.0482,1253,Bank,Park,Velperweg e.o.
192812.789000001,445181.664700001,1254,Bank,Park,Velperweg e.o.
192828.951699998,445136.921300001,1255,Bank,Park,Velperweg e.o.
